Timestamp,n-transactions
2015-05-22 00:00:00,102770
2015-05-25 00:00:00,106086
2015-05-28 00:00:00,110980
2015-05-31 00:00:00,98784
2015-06-03 00:00:00,127600
2015-06-06 00:00:00,92696
2015-06-09 00:00:00,121638
2015-06-12 00:00:00,126945
2015-06-15 00:00:00,129389
2015-06-18 00:00:00,124929
2015-06-21 00:00:00,96654
2015-06-24 00:00:00,113093
2015-06-27 00:00:00,106004
2015-06-30 00:00:00,155869
2015-07-03 00:00:00,129719
2015-07-06 00:00:00,174070
2015-07-09 00:00:00,191163
2015-07-12 00:00:00,208685
2015-07-15 00:00:00,115570
2015-07-18 00:00:00,130695
2015-07-21 00:00:00,133785
2015-07-24 00:00:00,109918
2015-07-27 00:00:00,115226
2015-07-30 00:00:00,123577
2015-08-02 00:00:00,103600
2015-08-05 00:00:00,133758
2015-08-08 00:00:00,101512
2015-08-11 00:00:00,114741
2015-08-14 00:00:00,111255
2015-08-17 00:00:00,115049
2015-08-20 00:00:00,118230
2015-08-23 00:00:00,94529
2015-08-26 00:00:00,122852
2015-08-29 00:00:00,107489
2015-09-01 00:00:00,130410
2015-09-04 00:00:00,103973
2015-09-07 00:00:00,125467
2015-09-10 00:00:00,124951
2015-09-13 00:00:00,146048
2015-09-16 00:00:00,167269
2015-09-19 00:00:00,114851
2015-09-22 00:00:00,136784
2015-09-25 00:00:00,128166
2015-09-28 00:00:00,138570
2015-10-01 00:00:00,134327
2015-10-04 00:00:00,103531
2015-10-07 00:00:00,134931
2015-10-10 00:00:00,127005
2015-10-13 00:00:00,134878
2015-10-16 00:00:00,143286
2015-10-19 00:00:00,143969
2015-10-22 00:00:00,147402
2015-10-25 00:00:00,131488
2015-10-28 00:00:00,160175
2015-10-31 00:00:00,155400
2015-11-03 00:00:00,186362
2015-11-06 00:00:00,166893
2015-11-09 00:00:00,159836
2015-11-12 00:00:00,157847
2015-11-15 00:00:00,143369
2015-11-18 00:00:00,165269
2015-11-21 00:00:00,151035
2015-11-24 00:00:00,152324
2015-11-27 00:00:00,160235
2015-11-30 00:00:00,182648
2015-12-03 00:00:00,164774
2015-12-06 00:00:00,179712
2015-12-09 00:00:00,220323
2015-12-12 00:00:00,204141
2015-12-15 00:00:00,223998
2015-12-18 00:00:00,213847
2015-12-21 00:00:00,229444
2015-12-24 00:00:00,210228
2015-12-27 00:00:00,160271
2015-12-30 00:00:00,176447
2016-01-02 00:00:00,149038
2016-01-05 00:00:00,182371
